Order_Date,Qty,Vendor,Location,Material_Num,Order_Type,DAYS
03/13/2019,1,114636,02,1260008,B,20
12/04/2018,9,114636,02,1260008,B,41
01/10/2020,1,114636,06,1260008,A,71
12/27/2019,6,114636,02,1260008,A,57
10/01/2019,13,114636,04,1260008,A,25
07/09/2020,16,114636,04,1260008,A,108
07/09/2019,2,114636,02,1260008,B,39
07/03/2019,9,114636,02,1260008,B,42
11/26/2018,2,114636,02,1270087,B,49
11/04/2019,3,114636,04,1270087,A,39
09/23/2020,1,114636,04,1270087,A,107
01/09/2019,1,114636,02,1270087,B,33
07/20/2020,2,114636,04,1270087,A,38
06/23/2020,1,114636,02,1270087,A,92
10/30/2019,1,114636,06,1270087,A,34
11/01/2019,2,114636,02,1270087,A,29
01/10/2020,3,114636,04,1270087,A,21
02/28/2020,2,114636,02,1270087,A,49
09/01/2020,3,114636,02,1270087,A,81
09/17/2020,2,114636,06,1270087,A,101
01/08/2019,1,114636,02,1270087,B,32
01/07/2020,2,114636,02,1270087,A,54
01/08/2020,1,114636,02,1270087,A,26
05/22/2020,1,114636,02,1270087,A,59
11/20/2018,3,114636,04,1270087,B,43
11/20/2018,1,114636,06,1270087,B,19
11/05/2018,2,114636,04,1270087,B,20
09/16/2020,1,114636,02,1270087,A,100
01/08/2020,2,114636,02,1270087,A,19
10/22/2019,1,114636,04,1270087,A,19
11/21/2018,3,114636,06,1340026,B,28
11/19/2018,18,114636,02,1340026,B,38
02/04/2020,8,114636,04,1340026,A,19
09/17/2019,5,114636,02,1340026,A,54
02/21/2020,1,114636,06,1340026,A,36
07/08/2019,1,114636,02,1340026,B,33
12/23/2019,5,114636,06,1340026,A,94
11/09/2018,3,114636,06,1340026,B,32
01/14/2019,3,114636,04,1340026,B,48
01/08/2020,5,114636,02,1340026,A,61
05/08/2019,6,114636,04,1340026,B,41
09/17/2019,4,114636,02,1340026,A,47
11/20/2019,5,114636,04,1340026,A,55
06/06/2019,8,114636,06,1340026,B,22
12/04/2018,5,114636,02,1340026,B,41
07/13/2020,14,114636,06,1340026,A,112
12/07/2018,3,114636,04,1340026,B,44
06/21/2019,8,114636,04,1340026,B,43
02/25/2020,29,114636,04,1340026,A,109
07/20/2020,16,114636,04,1340026,A,119
01/08/2020,9,114636,02,1340026,A,69
03/18/2019,3,114636,04,1340026,B,25
12/17/2018,9,114636,06,1340026,B,66
07/03/2019,13,114636,02,1340026,B,42
01/08/2020,3,114636,06,1340026,A,61
08/06/2020,2,114636,06,1340026,A,136
11/21/2018,8,114636,04,1340026,B,28
03/19/2019,7,114636,04,1340026,B,32
04/17/2019,8,114636,02,1340026,B,20
09/23/2019,11,114636,04,1340026,A,53
09/01/2020,16,114636,04,1340026,A,161
03/20/2019,2,114636,06,1340026,B,27
11/26/2018,1,114636,02,1340026,B,53
09/23/2019,2,114636,07,1340026,A,63
11/18/2019,9,114636,06,1340026,A,53
01/07/2020,7,114636,04,1340026,A,60
01/29/2020,17,114636,06,1340026,A,82
04/25/2019,12,114636,06,1340026,B,28
09/10/2019,3,114636,03,1340026,A,53
07/14/2020,16,114636,02,1340026,A,113
08/04/2020,16,114636,06,1340026,A,133
03/20/2020,22,114636,02,1340026,A,64
05/29/2020,16,114636,02,1340026,A,66
01/08/2020,1,114636,02,1340026,A,72
09/23/2019,4,114636,02,1340026,A,53
09/09/2019,8,114636,06,1340026,A,39
07/08/2019,8,114636,06,1340026,B,47
01/08/2020,17,114636,02,1340026,A,61
09/18/2019,8,114636,05,1340026,A,58
07/08/2019,10,114636,04,1340026,B,47
09/17/2019,1,114636,04,1340026,A,54
10/01/2019,1,114636,04,1340026,A,25
11/04/2019,4,114636,04,1340026,A,47
11/19/2019,10,114636,02,1340026,A,54
04/02/2020,32,158964,52,1340063,B,27
06/23/2020,50,114636,04,1340063,A,50
07/20/2020,70,114636,04,1340063,A,67
10/06/2020,11,114636,02,1340063,A,133
06/03/2020,31,114636,06,1340063,A,30
08/03/2020,6,114636,06,1340063,A,69
09/30/2020,11,114636,04,1340063,A,127
11/16/2018,8,158962,52,1340063,B,37
01/20/2020,12,158962,52,1340063,B,81
03/12/2020,18,161882,52,1340063,B,36
09/18/2020,3,114636,02,1340063,A,115
02/07/2019,6,158962,52,1340063,B,1
10/02/2020,39,114636,06,1340063,A,141
10/11/2019,1,158962,52,1340063,B,31
09/15/2020,5,114636,02,1340063,A,124
08/18/2020,1,114636,04,1340063,A,84
09/22/2020,9,114636,04,1340063,A,119
09/22/2020,7,161882,52,1340063,B,85
10/02/2020,8,114636,06,1340063,A,129
10/22/2019,3,158962,52,1340063,B,42
02/21/2019,4,158962,52,1340063,B,28
10/06/2020,6,114636,02,1340063,A,133
06/24/2020,44,114636,02,1340063,A,51
08/14/2020,61,114636,02,1340063,A,92
09/23/2020,1,114636,06,1340064,A,28
05/22/2020,2,114636,04,1340064,A,18
01/08/2020,2,114636,02,1340064,A,19
05/11/2020,1,114636,02,1340064,A,48
11/26/2018,7,114636,02,1340064,B,49
11/12/2018,1,114636,06,1340064,B,35
12/04/2018,1,114636,02,1340064,B,18
05/21/2020,1,114636,02,1340064,A,17
05/11/2020,1,114636,02,1340064,A,49
06/29/2020,1,114636,02,1340064,A,34
08/21/2020,1,114636,03,1340064,A,14
06/29/2020,1,114636,02,1340064,A,28
09/25/2020,2,114636,04,1340064,A,30
12/18/2018,5,114636,04,1340064,B,27
09/23/2020,2,114636,05,1340064,A,44
09/22/2020,2,114636,07,1340064,A,43
10/11/2019,2,158962,52,1340064,B,31
12/18/2018,1,114636,06,1340064,B,21
07/17/2020,1,114636,02,1340064,A,42
03/31/2020,2,114636,02,1340064,A,11
06/30/2020,1,114636,02,1340064,A,35
10/12/2020,4,114636,02,1340064,A,40
11/20/2018,10,114636,04,1340064,B,43
12/18/2018,1,114636,02,1340064,B,39
03/05/2020,13,622,06,1350014,A,20
03/10/2020,21,622,02,1350014,A,20
08/03/2020,140,622,02,1350014,A,54
03/12/2020,22,622,04,1350014,A,22
05/18/2020,21,622,04,1350014,A,54
03/06/2020,26,622,05,1350014,A,29
03/05/2020,14,622,07,1350014,A,28
05/19/2020,13,622,06,1350014,A,55
03/05/2020,16,622,07,1350014,A,28
08/03/2020,200,622,02,1350014,A,54
03/03/2020,25,622,03,1350014,A,26
05/15/2020,20,622,02,1350014,A,51
03/18/2020,23,622,04,1350014,A,19
03/12/2020,21,622,02,1350014,A,13
03/12/2020,14,622,06,1350014,A,22
10/05/2020,188,622,03,1350014,A,82
04/08/2020,23,622,04,1350014,A,19
04/23/2020,21,622,02,1350014,A,34
03/27/2020,46,622,04,1350014,A,15
03/27/2020,26,622,06,1350014,A,15
04/09/2020,13,622,06,1350014,A,20
03/06/2020,27,622,05,1350014,A,29
03/06/2020,23,622,04,1350014,A,21
03/16/2020,13,622,06,1350014,A,17
03/03/2020,24,622,03,1350014,A,26
03/25/2020,42,622,02,1350014,A,13
10/05/2020,72,622,03,1350014,A,82
03/03/2020,21,622,02,1350014,A,18
08/01/2020,156,622,02,1350014,A,44
08/13/2019,23,165818,07,1360089,A,12
03/03/2020,9,165818,07,1360089,A,13
02/28/2019,16,165818,03,1360089,B,28
08/11/2020,36,165818,05,1360089,A,139
08/14/2019,10,165818,03,1360089,A,13
07/03/2019,16,165818,05,1360089,B,28
11/28/2018,14,165818,07,1360089,B,35
07/15/2019,10,165818,07,1360089,B,40
03/10/2020,30,165818,05,1360089,A,20
09/27/2019,6,165818,05,1360089,A,21
04/03/2019,10,165818,03,1360089,B,27
03/24/2020,25,165818,05,1360089,A,12
05/03/2019,2,165818,05,1360089,B,8
12/06/2018,6,165818,07,1360089,B,15
01/07/2020,16,165818,07,1360089,A,54
01/11/2019,14,165818,03,1360089,B,22
01/08/2020,45,165818,05,1360089,A,19
06/19/2019,14,165818,03,1360089,B,14
06/05/2019,3,165818,07,1360089,B,27
02/28/2019,6,165818,05,1360089,B,70
11/25/2019,44,165818,05,1360089,A,53
10/02/2019,1,165818,03,1360089,A,26
12/11/2018,11,165818,05,1360089,B,25
04/20/2020,22,165818,07,1360089,A,26
01/04/2019,27,165818,03,1360089,B,56
01/31/2019,3,165818,07,1360089,B,20
10/30/2020,13,116333,03,1360089,A,16
10/03/2019,3,165818,07,1360089,A,42
10/03/2019,17,165818,07,1360089,A,27
11/21/2018,22,165818,05,1360089,B,28
09/26/2019,3,165818,05,1360089,A,56
01/13/2020,4,165818,07,1360089,A,31
04/02/2019,4,165818,03,1360089,B,26
02/12/2019,17,165818,05,1360089,B,32
08/23/2019,11,165818,03,1360089,A,22
12/17/2018,11,165818,05,1360089,B,38
02/07/2020,1,165818,05,1360089,A,7
08/04/2020,21,165818,07,1360089,A,134
05/26/2020,2,165818,05,1360089,A,63
10/23/2019,38,165818,07,1360089,A,20
02/15/2019,9,165818,05,1360089,B,15
12/14/2018,7,165818,07,1360089,B,35
01/08/2019,11,165818,07,1360089,B,19
09/19/2019,9,165818,07,1360089,A,36
05/20/2019,7,165818,03,1360089,B,18
07/14/2020,14,165818,05,1360089,A,111
11/25/2019,22,165818,03,1360089,A,33
04/04/2019,7,165818,05,1360089,B,28
07/11/2019,4,165818,05,1360089,A,8
04/03/2020,6,165818,07,1360089,A,14
03/15/2019,1,165818,05,1360089,B,43
11/26/2019,17,165818,05,1360089,A,34
10/01/2020,1,116333,07,1360089,A,29
10/29/2020,15,116333,03,1360089,A,15
10/02/2019,4,165818,05,1360089,A,49
03/16/2020,14,165818,07,1360089,A,17
10/01/2019,3,165818,05,1360089,A,25
10/02/2019,11,165818,03,1360089,A,41
01/29/2020,29,165818,03,1360089,A,13
07/18/2019,2,165818,07,1360089,A,15
10/08/2019,8,165818,07,1360089,A,20
03/24/2020,27,165818,07,1360089,A,12
05/03/2019,4,165818,03,1360089,B,15
